Cities;;;;;;;;;;;;;;;;;;;;;;;;;
;Kiel;Rostock;Schwerin;Hamburg;Bremen;Berlin;Potsdam;Hannover;Magdeburg;Duesseldorf;Leipzig;Koeln;Erfurt;Dresden;Frankfurt a. M.;Mainz;Wuerzburg;Mannheim;Nuernberg;Saarbruecken;Karlsruhe;Stuttgart;Freiburg;Muenchen;Friedrichshafen
Kiel;0;202;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rostock;202;0;88;183;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schwerin;0;88;0;111;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hamburg;98;183;111;0;177;289;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bremen;0;0;0;177;0;0;0;130;0;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berlin;0;230;210;289;0;0;36;0;0;0;0;0;0;193;0;0;0;0;0;0;0;0;0;0;0
Potsdam;0;0;0;0;0;36;0;0;127;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hannover;0;0;0;159;130;0;0;0;147;284;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0
Magdeburg;0;0;0;0;0;0;127;147;0;0;127;0;171;0;0;0;0;0;0;0;0;0;0;0;0
Duesseldorf;0;0;0;0;297;0;0;284;0;0;0;40;405;0;0;0;0;0;0;0;0;0;0;0;0
Leipzig;0;0;0;0;0;0;160;0;127;0;0;0;146;114;0;0;0;0;0;0;0;0;0;0;0
Koeln;0;0;0;0;0;0;0;0;0;40;0;0;367;0;190;0;0;0;0;259;0;0;0;0;0
Erfurt;0;0;0;0;0;0;0;250;171;405;146;367;0;216;257;0;194;0;230;0;0;0;0;0;0
Dresden;0;0;0;0;0;193;0;0;0;0;114;0;216;0;0;0;0;0;322;0;0;0;0;0;0
Frankfurt a. M.;0;0;0;0;0;0;0;0;0;0;0;190;257;0;0;44;119;0;0;0;0;0;0;0;0
Mainz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;83;0;143;0;0;0;0;0
Wuerzburg;0;0;0;0;0;0;0;0;0;0;0;0;194;0;119;0;0;178;110;0;189;147;0;0;0
Mannheim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;178;0;0;126;66;0;0;0;0
Nuernberg;0;0;0;0;0;0;0;0;0;0;0;0;230;322;0;0;110;0;0;0;0;210;0;170;0
Saarbruecken;0;0;0;0;0;0;0;0;0;0;0;259;0;0;0;143;0;126;0;0;144;0;0;0;0
Karlsruhe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;66;0;144;0;79;135;0;0
Stuttgart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0;210;0;79;0;0;237;196
Freiburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;0;0;0;153
Muenchen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;237;0;0;201
Friedrichshafen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;153;201;0
