Cities;;;;;;;;;;;;;;;;;;;;;;;;;
;Kiel;Rostock;Schwerin;Hamburg;Bremen;Berlin;Potsdam;Hannover;Magdeburg;Duesseldorf;Leipzig;Koeln;Erfurt;Dresden;Frankfurt a. M.;Mainz;Wuerzburg;Mannheim;Nuernberg;Saarbruecken;Karlsruhe;Stuttgart;Freiburg;Muenchen;Friedrichshafen
Kiel;0;130;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rostock;130;0;68;114;0;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schwerin;0;68;0;88;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hamburg;83;114;88;0;125;193;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bremen;0;0;0;125;0;0;0;94;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berlin;0;161;153;193;0;0;46;0;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0
Potsdam;0;0;0;0;0;46;0;0;78;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hannover;0;0;0;119;94;0;0;0;98;191;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0
Magdeburg;0;0;0;0;0;0;78;98;0;0;86;0;123;0;0;0;0;0;0;0;0;0;0;0;0
Duesseldorf;0;0;0;0;185;0;0;191;0;0;0;60;268;0;0;0;0;0;0;0;0;0;0;0;0
Leipzig;0;0;0;0;0;0;103;0;86;0;0;0;98;81;0;0;0;0;0;0;0;0;0;0;0
Koeln;0;0;0;0;0;0;0;0;0;60;0;0;239;0;127;0;0;0;0;175;0;0;0;0;0
Erfurt;0;0;0;0;0;0;0;175;123;268;98;239;0;134;163;0;125;0;151;0;0;0;0;0;0
Dresden;0;0;0;0;0;138;0;0;0;0;81;0;134;0;0;0;0;0;195;0;0;0;0;0;0
Frankfurt a. M.;0;0;0;0;0;0;0;0;0;0;0;127;163;0;0;47;81;0;0;0;0;0;0;0;0
Mainz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;57;0;90;0;0;0;0;0
Wuerzburg;0;0;0;0;0;0;0;0;0;0;0;0;125;0;81;0;0;111;74;0;123;91;0;0;0
Mannheim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;111;0;0;86;58;0;0;0;0
Nuernberg;0;0;0;0;0;0;0;0;0;0;0;0;151;195;0;0;74;0;0;0;0;133;0;105;0
Saarbruecken;0;0;0;0;0;0;0;0;0;0;0;175;0;0;0;90;0;86;0;0;110;0;0;0;0
Karlsruhe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;58;0;110;0;58;83;0;0
Stuttgart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;133;0;58;0;0;148;142
Freiburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128
Muenchen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;0;148;0;0;130
Friedrichshafen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;128;130;0
